Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SMAD4 CHEA,0.3308117750990418,1.1683157413304581,0.08484848484848485,0.664644588470861,1.0,123/472,20.51%,MYOCD;ID3;NRG1;FANK1;DAPK1;CDH4;SLC44A5;TENM2;NUF2;PIPOX;DNAH12;TINAGL1;ADAMTS16;ABCA12;SYN3;LDB2;SEMA5A;CEP55;EXO1;LIMCH1;MYB;KCNIP4;ID1;PTPRT;SRGAP3;S100A2;BMPER;BATF3;MEIS1;UNC5D;SLC22A23;AKR1E2;ABLIM1;GRID2;FOXP2;TENM4;AMOT;FGF12;FGFR2;WT1;FILIP1;HYDIN;KANK1;TCF7L1;FOXO1;AFAP1L2;BTG2;EPB41L4A;PACS1;SKIL;PPM1H;SOX5;ABRA;BICC1;ADCY2;CACNA1C;THBS1;TLN2;ANKRD55;REPS2;TJP2;ZNRF3;UNC5C;PLCXD2;FGD6;AGFG2;KCNN3;AGTR1;PTPRU;ACOXL;THSD7B;DOCK3;GNAO1;PLEKHA6;COL23A1;LEKR1;FMN2;MEGF10;CDH8;SHANK2;ROR2;ANKS1B;EDN1;SOX17;DSCAML1;SETBP1;ITGA9;MVB12B;MDC1;HMGA2;PTPRD;PCSK5;FRMD4A;NFASC;NRP1;NRP2;INPP5A;GAB2;B4GALNT3;SASH1;PTPRM;KSR1;JAG1;FGD4;CCDC150;GPR161;LRRC1;TCP11L1;FZD4;FMNL3;NEBL;RPS6KC1;BCAS3;KCNMA1;DAAM1;SMOX;CUBN;MBIP;SMAD1;CDC14A;KLF6;NHS;IVNS1ABP
prerank,SUZ12 ENCODE,0.41686709505178604,1.167455999878449,0.23932729624838292,0.596573810611117,1.0,16/43,13.95%,VWA5B2;KIAA1217;NT5C1A;IHH;OTX2;MDGA1;MAB21L1;TAL1;ALX3;GREM1;CDKN2C;CITED1;NPR3;LRP2;POU4F2;SOX17
prerank,KAT2A ENCODE,-0.2854139574889971,-1.125621273167216,0.17687074829931973,1.0,0.47878787878787876,46/85,31.41%,SNORA16A;HSPA5;HSP90B1;MRPL15;SNORA44;FADD;UCHL5;FEN1;GOLT1B;RPL29;NACA;ERH;CLTC;GABPB1;HSP90AB1;SNORA64;RPL6;RECQL;RPS8;NKIRAS1;NUP155;RPL27;RPS3;CTNNB1;RPL11;RPL34;RPL5;UBAC2;RPL12;RPL37;SNORA78;AKIRIN2;RPL32;RPS6;SLC39A9;TMEM258;PPP2R2A;CALM1;RPL31;WDR74;RPL36;RPL15;RPS2;RPL4;SNORD15A;CSNK1D
prerank,REST CHEA,0.3115386057124955,1.1168457651584365,0.11211211211211211,0.9028888713246918,1.0,231/890,22.51%,DENND2A;HOPX;MOBP;SBK1;SOX4;KCNMB2;PLAT;DAPK1;EYA2;KCNK5;PGBD5;SLC12A5;CDH4;FAM13C;GALNT13;HOMER2;RIMS4;ADRA2A;ADAM12;TENM2;GOLGA7B;HES1;VAT1L;NPPA;NPDC1;ELAVL2;CACNA2D2;CBLN1;SCN3B;LHX4;TMEM151A;ARHGEF10L;RBP7;LDB2;TLL2;EXOC3L1;MAPK8IP2;CMKLR1;TRIM17;PTGIS;CHST1;NELL2;CYP2E1;MYO5B;PTPRT;GRIN2A;FXYD6;LAMP5;ASRGL1;ZNF423;RIPPLY3;CCDC33;TAC4;PCDH1;CPNE4;NPTXR;IHH;SLC24A2;UNC5D;MAMDC2;ZFP2;COL6A6;IQCA1;MGAT3;RIMS2;NTSR2;CLSTN2;SIK1;ERG;PDE2A;PROM2;TP53I11;GPRC5B;SYT1;ECEL1;ADCY5;NCALD;RTN2;GRB10;PPP1R26;PAX8;NTRK2;FBXO41;NPTX2;SYPL2;LIN28A;SORBS1;MB21D2;CADM1;SLC9A7;SGCD;FOSB;ARID5A;CHL1;MARCO;NAV2;AIPL1;NR4A1;TMEM106A;PMAIP1;INHBB;VSTM2L;SLC7A14;SLC2A9;ZNF579;GRIP2;ATL1;ERC2;ZSWIM5;ASTN1;CCNF;NPEPL1;AGTR1;EEF1A2;PTPRU;SKOR1;ST8SIA5;DISP2;JAG2;GNAO1;DBNDD2;KCNC1;CHST8;ODF3L1;DRD5;RAB39A;CDH8;ADARB2;ZNF536;GPM6A;L1CAM;DBH;ACCSL;EDN1;POU4F2;HES2;HCN2;KCNT1;SPDEF;PRKG1;HAGHL;CAMK2B;SCNN1G;PRR5L;STMN3;CXXC5;CA8;PHF2;PCDH17;ZNF653;PPP4R4;RIMS3;TAS1R3;DNMT3A;BRINP2;E2F7;PARM1;NWD1;EFNB3;PTPRD;MRAS;ACSL6;LINGO2;NFASC;CHGB;NUP210;CPT1B;LETM2;SEMA6A;TMEM86B;SEC16B;GRIK2;KRBA1;CRIP2;LRFN3;PPP1R13L;SYP;SPDL1;DNAJC18;C1QA;SLC28A3;SCAP;TUBB3;NEO1;AGO4;MELK;CCNB2;NR2F2;MEGF11;RIC3;SLCO2B1;CELF6;NXPH2;ZNF865;EGR4;DUSP2;HIPK3;PLA2G6;DLGAP4;MAPRE3;SPRED3;TMEM144;ARID1A;ZNF784;KLF6;EPHA10;THY1;BCOR;SAMD3;OSBP2;ZNF689;ZFPM1;KIAA0513;MANEAL;AHDC1;LRRC61;KCNS2;DIAPH3;DPF2;ARHGEF18;PPM1D;GNG4;PNMA2;FSTL4;TADA1;BCL3;SMIM14;TNRC18;RUNDC3A;MAPK8IP1;GRIPAP1
prerank,STAT3 CHEA,0.325897246201301,1.088648600681761,0.30089485458612975,1.0,1.0,31/161,18.78%,VWC2;CYP7B1;CDH18;MSX1;SLC27A2;PIM1;SOCS2;GLIS3;ABLIM1;TENM4;PTPRS;FOS;ZFP36;NAPRT;OSBPL1A;TMEM106A;SOCS3;CBX4;PARD3B;HAAO;POU4F2;CCDC68;IRF1;ESRP2;KLF4;PAQR8;NRP2;PIK3R1;ZMYND8;HELB;ATP10A
prerank,TP53 CHEA,0.30158994569822023,1.0452187097692824,0.36990595611285265,1.0,1.0,59/266,19.38%,FAM13C;TMEM44;AFF3;CFTR;NTNG1;TSGA10;CYP3A7;DNAJC22;NELL2;S100A2;BMPER;DDIT4;NTRK2;BTG2;PRDM1;CACNA1C;PMAIP1;PARD3B;ATL1;NPR3;TCN2;ATF3;SKA3;KCNN3;ADRB1;NOS1AP;FAM166A;HAAO;HES2;GCNT2;SORCS2;RRAD;CCND2;VIM;CAMK2D;NAALADL1;GNG7;AXL;E2F7;COL11A2;PCDH7;CRELD1;FRMD4A;PRSS12;SEMA6A;PTPRM;ZBTB7B;EPHB2;JAG1;PRRT3;ALOX5;GAS6;SERTAD1;IRF2BP2;NEO1;SLC12A4;ADRA1D;NR4A2;KCNMA1
prerank,SALL4 CHEA,0.3006814210099096,1.0448218135053047,0.3747412008281574,1.0,1.0,48/308,17.55%,VIT;TTK;ID3;MYBL2;KCNMB2;HOMER2;HES1;MCM10;E2F1;GIPC2;FSCN1;NELL2;STMN1;BMPER;FOXC1;MEIS1;NPTXR;IHH;ANK2;AJUBA;HMGN5;ZNF184;HMOX1;ANK3;PRKCQ;ANLN;NREP;PDLIM1;F3;ZSWIM5;IRF2BPL;REEP1;MYRIP;KCNC1;FGF10;EDN1;SOX17;GCNT2;VIM;PLA2G7;LIPG;FBXL14;LDB1;PRSS12;SASH1;CDC6;FGD4;RBPMS
prerank,GATA1 CHEA,-0.21995720179412023,-1.0432888612199493,0.3333333333333333,1.0,0.7343434343434343,142/719,15.97%,KIF26A;RSAD2;CA1;SLC14A1;PDZK1IP1;HEMGN;KCNK1;PDE10A;NFE2;FDPS;INO80C;AKAP5;ANKRD33B;SKAP1;KCNE3;SLC4A1;CMPK2;PPAN;LRP4;HRH2;PRUNE2;PPM1L;FIBCD1;SLC2A1;PRAM1;HMBS;PARD6B;SEMA4B;CSF3R;GYPC;SCARB1;BOLA3;TEC;ATP2A3;OSBPL6;P4HA2;DLGAP1;PLCG2;C2CD2;COL27A1;PIP5K1B;SORD;CYB5B;LBH;PLEK;CCDC88B;ANGPT1;CASS4;NCOA4;UNC13D;RAP1A;TG;KIT;DAPP1;CCR3;KCNN4;ZDHHC19;MAP1LC3B2;ASIC1;ROPN1L;CBFA2T3;TFR2;LYL1;GBP6;AK8;SLC7A5;S1PR1;INPP5D;ANK1;NOTCH1;IL6R;SEC14L2;INSIG1;CCRL2;RAB4A;RAC2;TSPAN5;DOCK9;AK2;SAMM50;GNA12;SPTB;PLGRKT;FAM117A;NABP1;LPCAT3;TRIM58;COL5A1;ARID3A;GPR146;LAPTM5;PLXNC1;SAMD4A;PRKCB;TNIK;GAN;ARRB1;LIPA;CDCA4;LIMK2;SH2B3;SAMSN1;CD58;GRK5;IKZF1;DAD1;LRRC8B;CREB3L3;PTK2B;CD180;RAB3D;RIN3;RCL1;NUDT3;LCOR;EPB41;DPY19L1;MBP;MBNL1;SPI1;WDR37;ASAH1;ITPR1;ERRFI1;ARL15;DNAJC6;TMEM107;ICAM2;EVI5;TTLL12;GALNT7;ETFA;TFRC;E2F2;ANKRD27;COX16;CRISPLD2;UBE2F;ELF1;LRRC27;GFOD1;AGAP1
prerank,FOXA2 ENCODE,0.3034159085905318,1.0416380613047973,0.3874734607218684,1.0,1.0,68/250,27.11%,TFF3;CBX2;FGL1;HES1;FGA;NGEF;MTVR2;CLGN;PART1;LRP5;FOXP2;TTC32;ETV4;ZNF775;HID1;KRT18;JUNB;ITGB5;CYP4F11;MCM7;REEP4;KRT8;KIF9;CCNE2;SERPINA6;RNF43;PLXNB1;CA8;TK1;PIK3CA;PA2G4P4;ZBTB2;PHF8;MIS18BP1;DUSP1;MAML3;FOXP1;ZNF182;LGALS8-AS1;ATRX;NR2F2;DUSP16;MARCKS;TMEM98;EFNA1;TP53INP2;KLF6;FRAT1;RIN2;TIA1;RPH3AL;PPP1R15A;UBALD1;CTDSP2;INTS1;RAB11B;DAGLA;FAM53C;KLHL18;VASN;JADE2;KIZ;TNFAIP1;ALDH6A1;AP4M1;PUS10;MED13L;ABCA5
prerank,BCLAF1 ENCODE,-0.2121196577997573,-1.0175951716964307,0.0,1.0,0.807070707070707,304/704,35.52%,MIR3648-1;SNORA13;RNU6ATAC;SNHG5;APOO;TEFM;OARD1;ADAT2;FAM227B;LYL1;PRSS27;HSPE1-MOB4;RPL22L1;RAD9B;NME1;MRPL13;SNORA14B;RPS12;COA6;MRPL39;SNORD22;MFSD3;BRF2;NUDT5;UQCC1;TTC26;TNIK;SNORA67;STX16-NPEPL1;ZNF425;GOT2;YBEY;MRPL40;NDUFAF1;AMD1;TIMM10;SMIM13;GCLM;NIP7;TVP23B;SNORA70;MRPL21;PCYT1A;MDH1;NDUFS3;UCHL5;ZNF398;DTWD1;CACYBP;TACO1;PRDX1;NDC1;PSMB7;SSBP1;MBNL1;IPPK;NUS1;VKORC1;MRPL3;RUVBL1;SF3B6;RPS13;RPL36A-HNRNPH2;TTLL12;SAT1;VTA1;TFRC;COX16;SNORA10;OGFOD2;FEM1B;RMND1;DNAJC2;COQ3;DDX55;RPL29;MLEC;SLC33A1;PSMB1;MRPL44;NDUFC2;ARL8B;DPM3;HSD11B1L;SLC25A40;CLTC;SEC24A;AGK;TLCD1;CAP1;MRPS31;KBTBD4;PDE6D;PTP4A2;ATR;TBPL1;SNRPG;CCNC;EMC4;HSP90AB1;SNRPD1;AP3S2;ACBD5;MRPL24;ZNF79;OTUD7B;DDX1;CDK5RAP1;PGAM5;TRUB2;IPO4;GSPT1;SEC22B;ZFC3H1;NUP153;RNU12;HNRNPF;MPLKIP;CTR9;COPS5;HSPD1;GFM1;RANBP1;GFM2;STOML2;EMG1;RPL35A;BET1L;ZRANB2;HSPE1;POLR3B;SLC3A2;DNAJC25;RPS8;RPL7L1;ZMPSTE24;WDR36;NOP16;EEF2K;ALG10;METTL5;FBXO22;CCT7;VPS29;MCEE;MPDU1;SRP19;AQR;TGS1;CBLL1;JRK;GALK2;EIF5B;NUTF2;NR1H3;NDUFB10;ITGB3BP;TMEM129;NME3;PSMC2;EEF1A1;PRKAB2;CTNNB1;TAF12;RPL11;NSUN4;TMEM41A;COMMD3;MRPS16;SGMS1;RPS3A;TMEM69;WDPCP;MKRN2;LTN1;ARL5A;CDC73;AURKAIP1;NSA2;NCLN;MRPS34;NOL7;TMEM30A;PAK1IP1;CDK5;RPL37;SNRPE;PDCD10;IFT46;METTL18;HMGA1;RBBP5;FAM98B;DDX18;MDH2;MTG1;TIMM9;EIF4E2;COPS2;DPAGT1;SRFBP1;ANAPC5;DPP8;RPS19;ATL3;PRADC1;SUGCT;CDC123;SLC4A1AP;UBC;NVL;ZNF451;MRPL30;NIF3L1;DBF4;RAB18;CBX3;SNRPB;BMS1;RINT1;EZH2;PPIL1;DNAJC11;COPS4;SNRNP200;WDR74;USP32;TIGD1;LAS1L;GRPEL2;MRPS18C;MRPL48;TOMM22;FKBP3;NKAP;MED23;RSPH3;CENPP;ADAM17;NUDCD1;NPLOC4;TMA16;RAP2C;CWC27;TMEM68;ATG5;RSBN1;PNRC2;MAD2L1BP;BAX;ERI1;CCDC71L;EME2;SAR1B;PPIH;MTMR9;MRPL16;WDR70;ISY1;HNRNPA1L2;ACP2;AGO3;AP2S1;MBTPS2;LOC652276;RABGGTB;DNAJB2;BIRC6;SMG7;TMEM242;ENY2;PRKAB1;RTTN;PEX3;RPS20;LMAN2;LZIC;ALKBH2;DCAF10;COG8;RIC8A;NBN;ZNFX1;CHP1;INTS5;NOL8;OPA1;RPS7;VPS25;FRG1;RPL41;FBXW2;ZCCHC4;NUP107;DNAJC16;COPS7A;USPL1;INTS12;KCTD5;TNPO3;PFKM;RNU11;TXNDC9;GORASP2
