GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,3.653022362096219,0.3631158415028625,0.5946232021178779,0.6106654436112613,0.5414210876674576,0.9976725059418146
10,0.0,,,,,
100,14.208835678102187,0.2582560599817672,0.38208688885935954,0.6759092434517621,0.4990982686422779,0.9976725059418146
1000,343.2847841840847,0.17389329077215815,0.1633957159903833,1.0642463281129886,0.2872171248758628,0.9976725059418146
10000,74.56293662971495,0.8014607695880267,0.20086716179817518,3.9900039529274003,6.607219410068884e-05,0.011327072232131134
100009676,4.104337276745316,0.3300567318785128,0.5569926110853202,0.5925693183530485,0.5534694174857004,0.9976725059418146
10001,17.730370483879085,-0.2862656781786176,0.27129183202166335,-1.0551946073914915,0.2913363299723716,0.9976725059418146
10002,0.5850329308173285,0.9234001509050025,1.6015504908950986,0.5765663687498973,0.5642324236252066,
10003,6.791333795126784,-0.3256689116718012,0.4625085660054461,-0.7041359568418596,0.48134810962563246,0.9976725059418146
100033413,0.0,,,,,
100033414,0.0,,,,,
100033416,0.0,,,,,
100033418,0.0,,,,,
100033423,0.0,,,,,
100033425,0.0,,,,,
100033426,0.0,,,,,
100033428,0.0,,,,,
100033432,0.0,,,,,
100033434,0.0,,,,,
100033435,0.0,,,,,
100033438,0.0,,,,,
100033439,0.0,,,,,
100033820,0.0,,,,,
100037417,2.0023151041858847,0.2681982800641302,0.7852871682422002,0.34152892204321844,0.732705435656913,
100038246,0.0,,,,,
10004,0.49306485777653075,0.5176161962880576,1.6681218349071938,0.31029879560137474,0.7563337469576731,
100048912,6.23950439415335,0.1981867130639552,0.4561742376068267,0.43445397991714496,0.663958806355581,0.9976725059418146
100049076,0.0,,,,,
100049587,0.6360391597820374,2.0068602722798605,2.1080705067554435,0.9519891606323183,0.34110247912264746,
10005,8.603372571120795,0.14337383255618946,0.39561451199572434,0.36240792035894526,0.7170472216262636,0.9976725059418146
10006,57.75523251369337,0.12294328599555414,0.20464824610898474,0.600754163952527,0.5480037372789814,0.9976725059418146
10007,69.45006061585957,-0.6075427365255892,0.21904961948676321,-2.7735393375668567,0.005545013595097877,0.18957215553876525
100073347,0.0,,,,,
10008,0.8468680894894665,-1.113788369990089,1.9415751384903528,-0.5736519529479045,0.5662033477384811,
10009,23.505562833364415,0.004248127927801438,0.2514619904495556,0.016893717894329766,0.9865214044473092,0.9984163779575327
